MfgCode|BrandID|PartNo|CodeID|Description|LanguageCode
|JVYD|AFF120105511445MB|DES|Aodhan AFF1 20X10.5 5X114.3 ET 45mm Matte Black|EN
|JVYD|AFF120105511445MB|LAB|Aodhan Wheels|EN
|JVYD|AFF120105511445MB|MKT|The Aodhan AFF1 is part of Aodhan’s Flow Formed series, designed to deliver lightweight performance without sacrificing strength. With its sleek multi-spoke layout and modern styling, the AFF1 enhances both the look and handling of performance-oriented vehicles.|EN
|JVYD|AFF120105511445MB|FAB|[PERFORMANCE UPGRADE] - Engineered for enthusiasts seeking style, strength, and driving dynamics.|EN
|JVYD|AFF120105511445MB|FAB|[DURABLE FINISHES] - High-quality coatings resist corrosion and maintain their premium look.|EN
|JVYD|AFF120105511445MB|FAB|[LIGHTWEIGHT PERFORMANCE] - Reduces unsprung weight for improved acceleration, braking, and handling.|EN
|JVYD|AFF120105511445MB|FAB|[SLEEK MULTI-SPOKE DESIGN] - Modern styling that adds a refined yet aggressive appearance.|EN
|JVYD|AFF120105511445MB|FAB|[FLOW FORMED TECHNOLOGY] - Provides a stronger and lighter wheel compared to traditional cast construction.|EN
|JVYD|AFF120105511445MBR|DES|Aodhan AFF1 20X10.5 5X114.3 ET 45mm Matte Bronze|EN
|JVYD|AFF120105511445MBR|LAB|Aodhan Wheels|EN
|JVYD|AFF120105511445MBR|MKT|The Aodhan AFF1 is part of Aodhan’s Flow Formed series, designed to deliver lightweight performance without sacrificing strength. With its sleek multi-spoke layout and modern styling, the AFF1 enhances both the look and handling of performance-oriented vehicles.|EN
|JVYD|AFF120105511445MBR|FAB|[PERFORMANCE UPGRADE] - Engineered for enthusiasts seeking style, strength, and driving dynamics.|EN
|JVYD|AFF120105511445MBR|FAB|[DURABLE FINISHES] - High-quality coatings resist corrosion and maintain their premium look.|EN
|JVYD|AFF120105511445MBR|FAB|[LIGHTWEIGHT PERFORMANCE] - Reduces unsprung weight for improved acceleration, braking, and handling.|EN
|JVYD|AFF120105511445MBR|FAB|[SLEEK MULTI-SPOKE DESIGN] - Modern styling that adds a refined yet aggressive appearance.|EN
|JVYD|AFF120105511445MBR|FAB|[FLOW FORMED TECHNOLOGY] - Provides a stronger and lighter wheel compared to traditional cast construction.|EN
|JVYD|AFF120105511445SMF|DES|Aodhan AFF1 20X10.5 5X114.3 ET 45mm Gloss Silver Machined Face|EN
|JVYD|AFF120105511445SMF|LAB|Aodhan Wheels|EN
|JVYD|AFF120105511445SMF|MKT|The Aodhan AFF1 is part of Aodhan’s Flow Formed series, designed to deliver lightweight performance without sacrificing strength. With its sleek multi-spoke layout and modern styling, the AFF1 enhances both the look and handling of performance-oriented vehicles.|EN
|JVYD|AFF120105511445SMF|FAB|[PERFORMANCE UPGRADE] - Engineered for enthusiasts seeking style, strength, and driving dynamics.|EN
|JVYD|AFF120105511445SMF|FAB|[DURABLE FINISHES] - High-quality coatings resist corrosion and maintain their premium look.|EN
|JVYD|AFF120105511445SMF|FAB|[LIGHTWEIGHT PERFORMANCE] - Reduces unsprung weight for improved acceleration, braking, and handling.|EN
|JVYD|AFF120105511445SMF|FAB|[SLEEK MULTI-SPOKE DESIGN] - Modern styling that adds a refined yet aggressive appearance.|EN
|JVYD|AFF120105511445SMF|FAB|[FLOW FORMED TECHNOLOGY] - Provides a stronger and lighter wheel compared to traditional cast construction.|EN
|JVYD|AFF120105512035MB|DES|Aodhan AFF1 20X10.5 5X120 ET 35mm Matte Black|EN
|JVYD|AFF120105512035MB|LAB|Aodhan Wheels|EN
|JVYD|AFF120105512035MB|MKT|The Aodhan AFF1 is part of Aodhan’s Flow Formed series, designed to deliver lightweight performance without sacrificing strength. With its sleek multi-spoke layout and modern styling, the AFF1 enhances both the look and handling of performance-oriented vehicles.|EN
|JVYD|AFF120105512035MB|FAB|[PERFORMANCE UPGRADE] - Engineered for enthusiasts seeking style, strength, and driving dynamics.|EN
|JVYD|AFF120105512035MB|FAB|[DURABLE FINISHES] - High-quality coatings resist corrosion and maintain their premium look.|EN
|JVYD|AFF120105512035MB|FAB|[LIGHTWEIGHT PERFORMANCE] - Reduces unsprung weight for improved acceleration, braking, and handling.|EN
|JVYD|AFF120105512035MB|FAB|[SLEEK MULTI-SPOKE DESIGN] - Modern styling that adds a refined yet aggressive appearance.|EN
|JVYD|AFF120105512035MB|FAB|[FLOW FORMED TECHNOLOGY] - Provides a stronger and lighter wheel compared to traditional cast construction.|EN
|JVYD|AFF120105512035MBR|DES|Aodhan AFF1 20X10.5 5X120 ET 35mm Matte Bronze|EN
|JVYD|AFF120105512035MBR|LAB|Aodhan Wheels|EN
|JVYD|AFF120105512035MBR|MKT|The Aodhan AFF1 is part of Aodhan’s Flow Formed series, designed to deliver lightweight performance without sacrificing strength. With its sleek multi-spoke layout and modern styling, the AFF1 enhances both the look and handling of performance-oriented vehicles.|EN
|JVYD|AFF120105512035MBR|FAB|[PERFORMANCE UPGRADE] - Engineered for enthusiasts seeking style, strength, and driving dynamics.|EN
|JVYD|AFF120105512035MBR|FAB|[DURABLE FINISHES] - High-quality coatings resist corrosion and maintain their premium look.|EN
|JVYD|AFF120105512035MBR|FAB|[LIGHTWEIGHT PERFORMANCE] - Reduces unsprung weight for improved acceleration, braking, and handling.|EN
|JVYD|AFF120105512035MBR|FAB|[SLEEK MULTI-SPOKE DESIGN] - Modern styling that adds a refined yet aggressive appearance.|EN
|JVYD|AFF120105512035MBR|FAB|[FLOW FORMED TECHNOLOGY] - Provides a stronger and lighter wheel compared to traditional cast construction.|EN
|JVYD|AFF120105512035SMF|DES|Aodhan AFF1 20X10.5 5X120 ET 35mm Gloss Silver Machined Face|EN
|JVYD|AFF120105512035SMF|LAB|Aodhan Wheels|EN
|JVYD|AFF120105512035SMF|MKT|The Aodhan AFF1 is part of Aodhan’s Flow Formed series, designed to deliver lightweight performance without sacrificing strength. With its sleek multi-spoke layout and modern styling, the AFF1 enhances both the look and handling of performance-oriented vehicles.|EN
|JVYD|AFF120105512035SMF|FAB|[PERFORMANCE UPGRADE] - Engineered for enthusiasts seeking style, strength, and driving dynamics.|EN
|JVYD|AFF120105512035SMF|FAB|[DURABLE FINISHES] - High-quality coatings resist corrosion and maintain their premium look.|EN
|JVYD|AFF120105512035SMF|FAB|[LIGHTWEIGHT PERFORMANCE] - Reduces unsprung weight for improved acceleration, braking, and handling.|EN
|JVYD|AFF120105512035SMF|FAB|[SLEEK MULTI-SPOKE DESIGN] - Modern styling that adds a refined yet aggressive appearance.|EN
|JVYD|AFF120105512035SMF|FAB|[FLOW FORMED TECHNOLOGY] - Provides a stronger and lighter wheel compared to traditional cast construction.|EN
|JVYD|AFF12090511432MB|DES|Aodhan AFF1 20X9 5X114.3 ET 32mm Matte Black|EN
|JVYD|AFF12090511432MB|LAB|Aodhan Wheels|EN
|JVYD|AFF12090511432MB|MKT|The Aodhan AFF1 is part of Aodhan’s Flow Formed series, designed to deliver lightweight performance without sacrificing strength. With its sleek multi-spoke layout and modern styling, the AFF1 enhances both the look and handling of performance-oriented vehicles.|EN
|JVYD|AFF12090511432MB|FAB|[PERFORMANCE UPGRADE] - Engineered for enthusiasts seeking style, strength, and driving dynamics.|EN
|JVYD|AFF12090511432MB|FAB|[DURABLE FINISHES] - High-quality coatings resist corrosion and maintain their premium look.|EN
|JVYD|AFF12090511432MB|FAB|[LIGHTWEIGHT PERFORMANCE] - Reduces unsprung weight for improved acceleration, braking, and handling.|EN
|JVYD|AFF12090511432MB|FAB|[SLEEK MULTI-SPOKE DESIGN] - Modern styling that adds a refined yet aggressive appearance.|EN
|JVYD|AFF12090511432MB|FAB|[FLOW FORMED TECHNOLOGY] - Provides a stronger and lighter wheel compared to traditional cast construction.|EN
|JVYD|AFF12090511432MBR|DES|Aodhan AFF1 20X9 5X114.3 ET 32mm Matte Bronze|EN
|JVYD|AFF12090511432MBR|LAB|Aodhan Wheels|EN
|JVYD|AFF12090511432MBR|MKT|The Aodhan AFF1 is part of Aodhan’s Flow Formed series, designed to deliver lightweight performance without sacrificing strength. With its sleek multi-spoke layout and modern styling, the AFF1 enhances both the look and handling of performance-oriented vehicles.|EN
|JVYD|AFF12090511432MBR|FAB|[PERFORMANCE UPGRADE] - Engineered for enthusiasts seeking style, strength, and driving dynamics.|EN
|JVYD|AFF12090511432MBR|FAB|[DURABLE FINISHES] - High-quality coatings resist corrosion and maintain their premium look.|EN
|JVYD|AFF12090511432MBR|FAB|[LIGHTWEIGHT PERFORMANCE] - Reduces unsprung weight for improved acceleration, braking, and handling.|EN
|JVYD|AFF12090511432MBR|FAB|[SLEEK MULTI-SPOKE DESIGN] - Modern styling that adds a refined yet aggressive appearance.|EN
|JVYD|AFF12090511432MBR|FAB|[FLOW FORMED TECHNOLOGY] - Provides a stronger and lighter wheel compared to traditional cast construction.|EN
|JVYD|AFF12090511432SMF|DES|Aodhan AFF1 20X9 5X114.3 ET 32mm Gloss Silver Machined Face|EN
|JVYD|AFF12090511432SMF|LAB|Aodhan Wheels|EN
|JVYD|AFF12090511432SMF|MKT|The Aodhan AFF1 is part of Aodhan’s Flow Formed series, designed to deliver lightweight performance without sacrificing strength. With its sleek multi-spoke layout and modern styling, the AFF1 enhances both the look and handling of performance-oriented vehicles.|EN
|JVYD|AFF12090511432SMF|FAB|[PERFORMANCE UPGRADE] - Engineered for enthusiasts seeking style, strength, and driving dynamics.|EN
|JVYD|AFF12090511432SMF|FAB|[DURABLE FINISHES] - High-quality coatings resist corrosion and maintain their premium look.|EN
|JVYD|AFF12090511432SMF|FAB|[LIGHTWEIGHT PERFORMANCE] - Reduces unsprung weight for improved acceleration, braking, and handling.|EN
|JVYD|AFF12090511432SMF|FAB|[SLEEK MULTI-SPOKE DESIGN] - Modern styling that adds a refined yet aggressive appearance.|EN
|JVYD|AFF12090511432SMF|FAB|[FLOW FORMED TECHNOLOGY] - Provides a stronger and lighter wheel compared to traditional cast construction.|EN
|JVYD|AFF12090512030MB|DES|Aodhan AFF1 20X9 5X120 ET 30mm Matte Black|EN
|JVYD|AFF12090512030MB|LAB|Aodhan Wheels|EN
